Empty Response Summary - 20250210_142159
Fill mode: disabled
--------------------------------------------------

Missing files (364/364):
- conflicting_instructions_qwen2.5-7b-instruct_constraint_following_baseline_responses.jsonl (Model: qwen2.5-7b-instruct, Dataset: conflicting_instructions, Policy: constraint_following_baseline)
- conflicting_instructions_rich_context_Llama-3.1-8B_unmarked_system_detailed_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context, Policy: unmarked_system_detailed)
- conflicting_instructions_rich_context_Llama-3.1-8B_marked_system_detailed_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context, Policy: marked_system_detailed)
- conflicting_instructions_rich_context_Llama-3.1-8B_unmarked_user_detailed_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context, Policy: unmarked_user_detailed)
- conflicting_instructions_rich_context_Llama-3.1-8B_marked_user_detailed_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context, Policy: marked_user_detailed)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_constraint_following_baseline_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: constraint_following_baseline)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_baseline_all_user_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: baseline_all_user)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_basic_separation_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: basic_separation)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_task_specified_separation_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: task_specified_separation)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_emphasized_separation_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: emphasized_separation)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_unmarked_system_basic_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: unmarked_system_basic)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_marked_system_basic_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: marked_system_basic)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_unmarked_user_basic_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: unmarked_user_basic)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_marked_user_basic_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: marked_user_basic)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_unmarked_system_detailed_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: unmarked_system_detailed)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_marked_system_detailed_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: marked_system_detailed)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_unmarked_user_detailed_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: unmarked_user_detailed)
- conflicting_instructions_rich_context_reversed_Llama-3.1-8B_marked_user_detailed_responses.jsonl (Model: Llama-3.1-8B, Dataset: conflicting_instructions_rich_context_reversed, Policy: marked_user_detailed)
- conflicting_instructions_Llama-3.1-70B_constraint_following_baseline_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: constraint_following_baseline)
- conflicting_instructions_Llama-3.1-70B_baseline_all_user_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: baseline_all_user)
- conflicting_instructions_Llama-3.1-70B_basic_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: basic_separation)
- conflicting_instructions_Llama-3.1-70B_task_specified_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: task_specified_separation)
- conflicting_instructions_Llama-3.1-70B_emphasized_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: emphasized_separation)
- conflicting_instructions_Llama-3.1-70B_unmarked_system_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: unmarked_system_basic)
- conflicting_instructions_Llama-3.1-70B_marked_system_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: marked_system_basic)
- conflicting_instructions_Llama-3.1-70B_unmarked_user_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: unmarked_user_basic)
- conflicting_instructions_Llama-3.1-70B_marked_user_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: marked_user_basic)
- conflicting_instructions_Llama-3.1-70B_unmarked_system_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: unmarked_system_detailed)
- conflicting_instructions_Llama-3.1-70B_marked_system_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: marked_system_detailed)
- conflicting_instructions_Llama-3.1-70B_unmarked_user_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: unmarked_user_detailed)
- conflicting_instructions_Llama-3.1-70B_marked_user_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions, Policy: marked_user_detailed)
- conflicting_instructions_reversed_Llama-3.1-70B_constraint_following_baseline_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: constraint_following_baseline)
- conflicting_instructions_reversed_Llama-3.1-70B_baseline_all_user_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: baseline_all_user)
- conflicting_instructions_reversed_Llama-3.1-70B_basic_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: basic_separation)
- conflicting_instructions_reversed_Llama-3.1-70B_task_specified_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: task_specified_separation)
- conflicting_instructions_reversed_Llama-3.1-70B_emphasized_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: emphasized_separation)
- conflicting_instructions_reversed_Llama-3.1-70B_unmarked_system_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: unmarked_system_basic)
- conflicting_instructions_reversed_Llama-3.1-70B_marked_system_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: marked_system_basic)
- conflicting_instructions_reversed_Llama-3.1-70B_unmarked_user_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: unmarked_user_basic)
- conflicting_instructions_reversed_Llama-3.1-70B_marked_user_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: marked_user_basic)
- conflicting_instructions_reversed_Llama-3.1-70B_unmarked_system_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: unmarked_system_detailed)
- conflicting_instructions_reversed_Llama-3.1-70B_marked_system_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: marked_system_detailed)
- conflicting_instructions_reversed_Llama-3.1-70B_unmarked_user_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: unmarked_user_detailed)
- conflicting_instructions_reversed_Llama-3.1-70B_marked_user_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_reversed, Policy: marked_user_detailed)
- conflicting_instructions_rich_context_Llama-3.1-70B_constraint_following_baseline_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: constraint_following_baseline)
- conflicting_instructions_rich_context_Llama-3.1-70B_baseline_all_user_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: baseline_all_user)
- conflicting_instructions_rich_context_Llama-3.1-70B_basic_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: basic_separation)
- conflicting_instructions_rich_context_Llama-3.1-70B_task_specified_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: task_specified_separation)
- conflicting_instructions_rich_context_Llama-3.1-70B_emphasized_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: emphasized_separation)
- conflicting_instructions_rich_context_Llama-3.1-70B_unmarked_system_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: unmarked_system_basic)
- conflicting_instructions_rich_context_Llama-3.1-70B_marked_system_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: marked_system_basic)
- conflicting_instructions_rich_context_Llama-3.1-70B_unmarked_user_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: unmarked_user_basic)
- conflicting_instructions_rich_context_Llama-3.1-70B_marked_user_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: marked_user_basic)
- conflicting_instructions_rich_context_Llama-3.1-70B_unmarked_system_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: unmarked_system_detailed)
- conflicting_instructions_rich_context_Llama-3.1-70B_marked_system_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: marked_system_detailed)
- conflicting_instructions_rich_context_Llama-3.1-70B_unmarked_user_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: unmarked_user_detailed)
- conflicting_instructions_rich_context_Llama-3.1-70B_marked_user_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context, Policy: marked_user_detailed)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_constraint_following_baseline_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: constraint_following_baseline)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_baseline_all_user_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: baseline_all_user)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_basic_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: basic_separation)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_task_specified_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: task_specified_separation)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_emphasized_separation_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: emphasized_separation)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_unmarked_system_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: unmarked_system_basic)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_marked_system_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: marked_system_basic)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_unmarked_user_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: unmarked_user_basic)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_marked_user_basic_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: marked_user_basic)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_unmarked_system_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: unmarked_system_detailed)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_marked_system_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: marked_system_detailed)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_unmarked_user_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: unmarked_user_detailed)
- conflicting_instructions_rich_context_reversed_Llama-3.1-70B_marked_user_detailed_responses.jsonl (Model: Llama-3.1-70B, Dataset: conflicting_instructions_rich_context_reversed, Policy: marked_user_detailed)

--------------------------------------------------

Files with empty responses (41):

File: conflicting_instructions_Llama-3.1-8B_unmarked_user_detailed_0.0_results.jsonl
Empty responses: 4/600 (0.67%)
Empty indices: [155, 312, 437, 450]

File: conflicting_instructions_reversed_Llama-3.1-8B_unmarked_user_basic_0.0_results.jsonl
Empty responses: 4/600 (0.67%)
Empty indices: [201, 366, 432, 435]

File: conflicting_instructions_reversed_Llama-3.1-8B_marked_user_basic_0.0_results.jsonl
Empty responses: 3/600 (0.50%)
Empty indices: [210, 252, 342]

File: conflicting_instructions_reversed_Llama-3.1-8B_marked_system_basic_0.0_results.jsonl
Empty responses: 3/600 (0.50%)
Empty indices: [324, 433, 594]

File: conflicting_instructions_Llama-3.1-8B_unmarked_user_detailed_0.2_results.jsonl
Empty responses: 3/600 (0.50%)
Empty indices: [192, 312, 432]

File: conflicting_instructions_Llama-3.1-8B_unmarked_user_basic_0.0_results.jsonl
Empty responses: 3/600 (0.50%)
Empty indices: [29, 67, 312]

File: conflicting_instructions_Llama-3.1-8B_unmarked_system_basic_0.0_results.jsonl
Empty responses: 2/600 (0.33%)
Empty indices: [192, 312]

File: conflicting_instructions_reversed_Llama-3.1-8B_unmarked_system_basic_0.2_results.jsonl
Empty responses: 2/600 (0.33%)
Empty indices: [428, 512]

File: conflicting_instructions_reversed_Llama-3.1-8B_unmarked_user_basic_0.2_results.jsonl
Empty responses: 2/600 (0.33%)
Empty indices: [98, 437]

File: conflicting_instructions_reversed_Llama-3.1-8B_unmarked_system_basic_0.0_results.jsonl
Empty responses: 2/600 (0.33%)
Empty indices: [452, 512]

File: conflicting_instructions_reversed_Llama-3.1-8B_marked_user_basic_0.2_results.jsonl
Empty responses: 2/600 (0.33%)
Empty indices: [132, 468]

File: conflicting_instructions_Llama-3.1-8B_marked_system_detailed_0.0_results.jsonl
Empty responses: 2/600 (0.33%)
Empty indices: [58, 580]

File: conflicting_instructions_Llama-3.1-8B_unmarked_system_detailed_0.0_results.jsonl
Empty responses: 2/600 (0.33%)
Empty indices: [192, 456]

File: conflicting_instructions_Llama-3.1-8B_baseline_all_user_0.2_results.jsonl
Empty responses: 2/600 (0.33%)
Empty indices: [396, 406]

File: conflicting_instructions_rich_context_reversed_Llama-3.1-8B_marked_system_basic_0.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [351]

File: conflicting_instructions_rich_context_reversed_Llama-3.1-8B_unmarked_user_detailed_0.2_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [173]

File: conflicting_instructions_Llama-3.1-8B_unmarked_system_basic_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [192]

File: conflicting_instructions_rich_context_reversed_Llama-3.1-8B_unmarked_system_detailed_0.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [173]

File: conflicting_instructions_Llama-3.1-8B_marked_user_basic_0.2_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [451]

File: conflicting_instructions_Llama-3.1-8B_unmarked_system_detailed_0.2_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [67]

File: conflicting_instructions_rich_context_Llama-3.1-8B_unmarked_user_basic_1.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [137]

File: conflicting_instructions_reversed_Llama-3.1-8B_marked_system_basic_0.6_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [138]

File: conflicting_instructions_rich_context_Llama-3.1-8B_unmarked_user_basic_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [85]

File: conflicting_instructions_reversed_Llama-3.1-8B_emphasized_separation_0.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [512]

File: conflicting_instructions_rich_context_reversed_Llama-3.1-8B_baseline_all_user_0.2_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [157]

File: conflicting_instructions_rich_context_Llama-3.1-8B_marked_system_detailed_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [85]

File: conflicting_instructions_rich_context_reversed_Llama-3.1-8B_baseline_all_user_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [85]

File: conflicting_instructions_rich_context_reversed_Llama-3.1-8B_marked_system_detailed_0.2_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [163]

File: conflicting_instructions_reversed_Llama-3.1-8B_marked_system_detailed_0.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [36]

File: conflicting_instructions_reversed_Llama-3.1-8B_unmarked_user_basic_0.6_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [432]

File: conflicting_instructions_reversed_Llama-3.1-8B_unmarked_system_detailed_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [593]

File: conflicting_instructions_rich_context_Llama-3.1-8B_emphasized_separation_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [456]

File: conflicting_instructions_rich_context_reversed_Llama-3.1-8B_constraint_following_baseline_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [85]

File: conflicting_instructions_reversed_Llama-3.1-8B_baseline_all_user_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [512]

File: conflicting_instructions_reversed_Llama-3.1-8B_marked_user_detailed_0.2_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [156]

File: conflicting_instructions_rich_context_reversed_Llama-3.1-8B_unmarked_user_detailed_0.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [173]

File: conflicting_instructions_Llama-3.1-8B_unmarked_system_basic_0.2_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [11]

File: conflicting_instructions_rich_context_Llama-3.1-8B_marked_system_basic_1.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [216]

File: conflicting_instructions_rich_context_Llama-3.1-8B_basic_separation_0.4_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [239]

File: conflicting_instructions_rich_context_Llama-3.1-8B_constraint_following_baseline_1.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [115]

File: conflicting_instructions_Llama-3.1-8B_marked_user_basic_0.0_results.jsonl
Empty responses: 1/600 (0.17%)
Empty indices: [434]
